Affidabilita,Dettagli
Altezza,Caratteristiche Fisiche
Area,Caratteristiche Fisiche
Assorbimento,Caratteristiche Fisiche
Capacita,Caratteristiche Fisiche
Categoria,Caratteristiche Fisiche
Codice,Altro
Costo,Dettagli
Data e ora,Dettagli
Dati commerciali,Dettagli
Dati fisici,Caratteristiche Fisiche
Dati geografici,Dettagli
Denominazione,Dettagli
Deroga,Dettagli
Descrizione,Dettagli
Diametro,Caratteristiche Fisiche
Dimensione,Caratteristiche Fisiche
Distanza,Caratteristiche Fisiche
Funzione,Altro
Id,Altro
Lunghezza,Caratteristiche Fisiche
Manutenzione,Dettagli
Materiale,Dettagli
Pendenza,Caratteristiche Fisiche
Portata,Caratteristiche Fisiche
Potenza,Caratteristiche Fisiche
Prelievo,Dettagli
Presenza,Dettagli
Pressione,Caratteristiche Fisiche
Profondita,Caratteristiche Fisiche
Quota,Dettagli
Recapiti,Altro
Sistema,Dettagli
Stato,Dettagli
Tabelle,Dettagli
Tipo,Dettagli
Valori,Caratteristiche Fisiche
Volume,Caratteristiche Fisiche
Altro,Altro
Dettagli,Dettagli
User/operatore,Dettagli
Annotazioni,Dettagli
